label,N,nhap,S,S_single,S_inf,h,pi,k,theta_w,theta_pi,Tajima_D,Tajima_D_allel,Fu_Fs,p_Fs,tau,theta0,raggedness,SSD,SSD_w,p_raggedness,p_SSD,p_SSD_w,Phi_ST,p_Phi_ST,var_among_pct,var_within_pct
ALL SAMPLES,601,220,333,49,308,0.9862,0.1799,118.1866,0.0727,0.1799,4.3917,4.3917,-0.8587,0.2976,130.3624,15.0585,0.0034,0.0034,170.9310,0.00999,0.00999,0.000999,0.1528,0.000999,15.2795,84.7205
REGION: Asia,15,14,220,97,157,0.9905,0.1314,86.3429,0.1030,0.1314,1.2223,1.2223,0.8447,0.6995,107.6468,19.1514,0.0214,0.0214,1.5300,0.00999,0.00999,0.03397,nan,nan,nan,nan
REGION: Austral,5,3,28,27,1,0.8000,0.0174,11.4000,0.0205,0.0174,-1.1330,-1.1330,nan,nan,30.4694,0.0000,0.2451,0.2451,2.4514,nan,nan,nan,nan,nan,nan,nan
REGION: Eur,42,18,211,20,196,0.8479,0.1344,88.3240,0.0746,0.1344,2.9586,2.9586,21.9355,1,157.7588,0.0000,0.0661,0.0661,26.2338,0.000999,0.000999,0.000999,nan,nan,nan,nan
REGION: NAmer,450,150,314,46,297,0.9787,0.1739,114.2240,0.0715,0.1739,4.3285,4.3285,8.5112,0.9998,129.8000,18.8847,0.0053,0.0053,185.6803,0.000999,0.000999,0.000999,nan,nan,nan,nan
REGION: SAmer,89,36,257,10,251,0.9477,0.1626,106.8059,0.0773,0.1626,3.7557,3.7557,27.0294,1,110.5081,38.0784,0.0161,0.0161,18.9008,0.000999,0.000999,0.006993,nan,nan,nan,nan
